name,address,type,unit
2 Rivers,25 Grand River St N. Paris ON N3L 1C9,restaurant,brant
A & W Restaurant,30 Lynden Rd Brantford ON N3R 8A4,restaurant,brant
A & W Restaurant,72 King George Rd Brantford ON N3R 6K7,restaurant,brant
Abigail Tea House,2 Main St. S St. George ON,restaurant,brant
Abigail's Bakery & Express,153 West St Brantford ON N3T 6G4,restaurant,brant
Admiral Submarine,55 Dalhousie St Brantford ON N3T 2J1,restaurant,brant
Al Dente Fresh Pasta,1-250 King George Rd Brantford ON N3R 5L5,restaurant,brant
Alexander's Tavern,187 Market Street Brantford ON N3T 3A7,restaurant,brant
Angels Family Diner,125 King George Rd. Brantford ON N3R 5K7,restaurant,brant
Anna's Soul Food Kitchen,72 Colborne St Brantford Ontario N3T 2G5,restaurant,brant
Apna Meats & Grill,E5-360 Conklin Road Brantford ON N3T 0N5,restaurant,brant
Arby's Restaurant,129 King George Rd Brantford ON N3R 5K7,restaurant,brant
Arlington Hotel - EDIT,106 Grand River St N Paris ON N3L 2M5,restaurant,brant
Arrowdale Municipal Golf Club,282 Stanley Street Brantford ON N3S 6N6,restaurant,brant
BarBurrito,50-Market St S Brantford ON N3S 2E3,restaurant,brant
Beijing Restaurant,435 St. Paul Ave. Brantford ON N3R 4N8,restaurant,brant
Best Western - Food - Myra's Bar and Grill,19 Holiday Dr. Brantford ON N3R 7J4,restaurant,brant
Big Smoke Burger,A4-175 Lynden Rd Brantford ON N3R 8A7,restaurant,brant
Bistro 7 Eatery,1-71 Charing Cross St Brantford ON N3R 2H4,restaurant,brant
Bistro Greeco Italiano,E1 - E4-360 Conklin Road Brantford ON N3T 0N5,restaurant,brant
Blessings Eatery,185 King George Rd Brantford ON N3R 7R9,restaurant,brant
Boston Pizza,299 Wayne Gretzky Pkwy Brantford ON N3R 8A5,restaurant,brant
Boston Pizza,50 Market St.S. Brantford ON N3S 2E3,restaurant,brant
Brando's on Market,135 Market St Brantford ON N3T 2Z9,restaurant,brant
Bransterdam,lower-407 Colborne St Brantford Ontario N3S 3N5,restaurant,brant
Brant Valley Golf Club,128 Govenors Road County of Brant ON N0E 1N0,restaurant,brant
Brantford Family Restaurant,669 Colborne Street E Brantford ON N3S 3M8,restaurant,brant
Buck's Tavern,541-C Colborne St E. Brantford ON N3S 3P4,restaurant,brant
Burford Golf Links,120 Golf Links Rd. Burford ON N0E 1A0,restaurant,brant
Burrito Brothers,38 Dalhousie St. Brantford ON N3T 2H8,restaurant,brant
Cafe Andreou,104 West Street Brantford ON N3T 3E7,restaurant,brant
Camp 31,22 Paris Rd Brant ON N3L 3H8,restaurant,brant
China King Restaurant,R.R. #1-1320 Colborne Street East Brantford ON N3T 5L4,restaurant,brant
Chuck's Roadhouse Bar & Grill,245 King George Rd Brantford ON N3R 7N7,restaurant,brant
Coffee Culture Cafe and Eatery,75 Dalhousie St Brantford ON N3T 2J1,restaurant,brant
Colby's Billiards,634 Colborne Street Brantford ON N3S 3P8,restaurant,brant
Crabby Joe's,456 Fairview Dr. Brantford ON N3R 7A9,restaurant,brant
Cravin-A-Burger,121-King Street Burford ON N0E 1A0,restaurant,brant
CT Shawarma,5-206 King George Road Brantford ON N3R 5L3,restaurant,brant
Devlin's Country Bistro and Catering,704 Mt. Pleasant Rd Mt. Pleasant ON N0E 1K0,restaurant,brant
Dog Eared Café,121 Grand River Street North Paris ON N3L 2R2,restaurant,brant
Domino's Pizza,1-105 Colborne Street West Brantford ON N3T 1K8,restaurant,brant
Domino's Pizza,71-Charing Cross St Brantford ON N3R 2H4,restaurant,brant
Duke on Park,10 & 12-505 Park Rd N Brantford ON N3T 6R7,restaurant,brant
East Side Mario's,300 King George Rd Brantford ON N3R 5L8,restaurant,brant
Echo Bowl,760 Colborne St Brantford ON N3S 3S1,restaurant,brant
Eggsmart,156 Dundas St E Paris ON N3L 3B7,restaurant,brant
Elements Casino Brantford (Getaway),40 Icomm Dr Brantford ON N3S 7S9,restaurant,brant
